Category,Sub Category,Top Brand,Brand Name,Brand Count
Clothing  Shoes & Jewelry,Men,NO,DL1961,88,
Clothing  Shoes & Jewelry,Men,NO,Dockers,535,
Clothing  Shoes & Jewelry,Men,NO,Dorfman Pacific,7,
Clothing  Shoes & Jewelry,Men,NO,Dr. Martens,1,
Clothing  Shoes & Jewelry,Men,NO,Dr. Scholl's,35,
Clothing  Shoes & Jewelry,Men,NO,Dunham by New Balance,2,
Clothing  Shoes & Jewelry,Men,NO,Eagle,56,
Clothing  Shoes & Jewelry,Men,NO,ECCO,9,
Clothing  Shoes & Jewelry,Men,NO,ELEMENT,178,
Clothing  Shoes & Jewelry,Men,NO,Element,178,
Clothing  Shoes & Jewelry,Men,NO,Elie Tahari,5,
Clothing  Shoes & Jewelry,Men,NO,Emporio Armani,295,
Clothing  Shoes & Jewelry,Men,NO,English Laundry,22,
Clothing  Shoes & Jewelry,Men,NO,Ermenegildo Zegna,1,
Clothing  Shoes & Jewelry,Men,NO,ExOfficio,156,
Clothing  Shoes & Jewelry,Men,NO,Ezekiel,29,
Clothing  Shoes & Jewelry,Men,NO,FALKE,5,
Clothing  Shoes & Jewelry,Men,NO,FARAH,13,
Clothing  Shoes & Jewelry,Men,NO,FEA,75,
Clothing  Shoes & Jewelry,Men,NO,Ferrari,3,
Clothing  Shoes & Jewelry,Men,NO,Fidelity Denim,5,
Clothing  Shoes & Jewelry,Men,NO,Fifth Sun,1,
Clothing  Shoes & Jewelry,Men,NO,Fila,6,
Clothing  Shoes & Jewelry,Men,NO,Florsheim,8,
Clothing  Shoes & Jewelry,Men,NO,Fox,354,
Clothing  Shoes & Jewelry,Men,NO,Fred Perry,106,
Clothing  Shoes & Jewelry,Men,NO,Freestyle,6,
Clothing  Shoes & Jewelry,Men,NO,French Connection,247,
Clothing  Shoes & Jewelry,Men,NO,FRYE,1,
Clothing  Shoes & Jewelry,Men,NO,G-Star Raw,455,
Clothing  Shoes & Jewelry,Men,NO,GANT,58,
Clothing  Shoes & Jewelry,Men,NO,Geoffrey Beene,125,
Clothing  Shoes & Jewelry,Men,NO,Gerry,13,
Clothing  Shoes & Jewelry,Men,NO,Gevril,4,
Clothing  Shoes & Jewelry,Men,NO,Globe,6,
Clothing  Shoes & Jewelry,Men,NO,Glycine,1,
Clothing  Shoes & Jewelry,Men,NO,Gold Toe,115,
Clothing  Shoes & Jewelry,Men,NO,GoodLife,5,
Clothing  Shoes & Jewelry,Men,NO,Goodthreads,40,
Clothing  Shoes & Jewelry,Men,NO,Goorin Bros.,4,
Clothing  Shoes & Jewelry,Men,NO,Greg Norman,15,
Clothing  Shoes & Jewelry,Men,NO,Gucci,3,
Clothing  Shoes & Jewelry,Men,NO,GUESS,359,
Clothing  Shoes & Jewelry,Men,NO,GUESS by Marciano,6,
Clothing  Shoes & Jewelry,Men,NO,Gymboree,1,
Clothing  Shoes & Jewelry,Men,NO,GùCCì,3,
Clothing  Shoes & Jewelry,Men,NO,Haflinger,2,
Clothing  Shoes & Jewelry,Men,NO,Haggar,542,
Clothing  Shoes & Jewelry,Men,NO,Hanes,378,
Clothing  Shoes & Jewelry,Men,NO,HANRO,84,
Clothing  Shoes & Jewelry,Men,NO,Happy Socks,112,
Clothing  Shoes & Jewelry,Men,NO,Hart Schaffner Marx,38,
Clothing  Shoes & Jewelry,Men,NO,Hawke & Co,65,
